FY,Month (abbv),Component,Region,Land Filter,Branch,Drug Type,Count of Event,Sum Qty (lbs)
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marijuana,1,0.01
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,1,88.2
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,2,0.36
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Heroin,1,0.75
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.17
2022,DEC,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,2,0.04
2022,DEC,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,6,10.3
2022,DEC,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,1,11.03
2022,DEC,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,16,48.72
2022,DEC,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,1.1
2022,DEC,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,2,33.77
2022,DEC,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,4,1.4300000000000002
2022,DEC,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,6,0.2799999999999999
2022,DEC,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Heroin,2,0.15
2022,DEC,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,1,0.01
2022,DEC,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Marijuana,1,0.0
2022,DEC,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,10.36
2022,DEC,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Heroin,1,2.21
2022,DEC,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.0
2022,DEC,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Fentanyl,1,12.13
2022,DEC,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,6,2.5600000000000005
2022,DEC,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Heroin,1,0.06
2022,DEC,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,3,1.28
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,6,5089.54
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Cocaine,4,0.29
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Marijuana,2,37.16
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Methamphetamine,3,28.520000000000003
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,3,4.88
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,3,0.06
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,3,10.11
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,3,1036.2700000000002
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Albuquerque,Fentanyl,1,0.12
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Albuquerque,Methamphetamine,1,1.06
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,4643.73
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,3,7249.049999999999
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Heroin,1,2.2
2022,FEB,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.07
2022,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,3.2
2022,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,15,34.37
2022,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,5,12.55
2022,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,1,0.07
2022,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,7,66.36
2022,FEB,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Cocaine,4,0.02
2022,FEB,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Fentanyl,3,0.0
2022,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,6,35.23
2022,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,3,2.25
2022,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,2,1.98
2022,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,4,1.73
2022,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Heroin,2,0.12
2022,FEB,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,1,2.25
2022,FEB,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.0
2022,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,3,37.58
2022,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,28.02
2022,FEB,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,2,2.25
2022,FEB,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,4,4899.52
2022,FEB,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Marijuana,1,482.9
2022,FEB,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,2,0.01
2022,FEB,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,2,0.36
2022,FEB,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marijuana,2,5.33
2022,FEB,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,3,23.86
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,4,1336.52
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Fentanyl,1,63.95
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Heroin,1,112.46
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Marijuana,1,1.1
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Methamphetamine,2,1040.77
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,2,553.36
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Cocaine,4,2.65
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Fentanyl,3,0.09
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Heroin,2,0.0699999999999999
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Marijuana,4,0.75
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Methamphetamine,7,0.26
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,3,0.4
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.16
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Heroin,1,0.01
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,1,1.41
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,1,220.5
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,5,6349.81
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,1,3962.39
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,5,5065.87
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,3914.67
2022,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,0.51
2022,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,2,2.12
2022,JAN,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Cocaine,3,0.0
2022,JAN,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Fentanyl,2,0.0
2022,JAN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,4,14.37
2022,JAN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,1,16.98
2022,JAN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,4,67.94999999999999
2022,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,2,4.96
2022,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,6,167.77999999999997
2022,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,0.02
2022,JAN,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Methamphetamine,1,0.0
2022,JAN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,3,147.38
2022,JAN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,2,708.3299999999999
2022,JAN,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,2,0.0
2022,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,9,21.49
2022,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,3,27.3
2022,JAN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,0.99
2022,JAN,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,3,6476.09
2022,JAN,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Marijuana,2,4064.92
2022,JAN,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,2,8.72
2022,JAN,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Heroin,1,2.43
2022,JAN,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,4,89.94
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,8.6
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Marijuana,1,12.79
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Marijuana,4,76.31
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,2,2.03
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,2.4
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Heroin,1,0.3
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,3,8.860000000000001
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,2,1.45
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,1776.91
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,5,3520.75
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,2,311.68
2022,JUL,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,2142.87
2022,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,107,82.02
2022,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,4,4.5
2022,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,3,2.13
2022,JUL,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,1,0.13
2022,JUL,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,2,1.08
2022,JUL,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Cocaine,1,0.0
2022,JUL,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Fentanyl,3,0.66
2022,JUL,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,2,12.5
2022,JUL,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,1,48.06
2022,JUL,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,1,25.0
2022,JUL,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,2,0.18
2022,JUL,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Heroin,2,12.38
2022,JUL,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,1,0.75
2022,JUL,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,1.0
2022,JUL,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,2,1.43
2022,JUL,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,1.04
2022,JUL,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,0.08
2022,JUL,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,3,16.67
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,4,2173.74
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,3,16.200000000000003
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,2,0.6499999999999999
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Heroin,1,0.11
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,3,1.48
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,1,16.53
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,5,4717.849999999999
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,3,4642.89
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,4,6089.11
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,559.0
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.07
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Heroin,1,1.65
2022,JUN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,3.28
2022,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,4,3.24
2022,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,0.06
2022,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,2,28.28
2022,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,2,0.38
2022,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,0.18
2022,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,4,117.09
2022,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,3,0.13
2022,JUN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,2,8.6
2022,JUN,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Fentanyl,1,0.04
2022,JUN,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,2,1369.05
2022,JUN,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Methamphetamine,3,55.400000000000006
2022,JUN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,1,0.58
2022,JUN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,4,217.38
2022,JUN,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,1.2
2022,JUN,Air and Marine Operations,Southwest Border,Land,San Diego Air And Marine Branch,Methamphetamine,1,2.29
2022,JUN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,6,38.46
2022,JUN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,3.97
2022,JUN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,3,3.0200000000000005
2022,JUN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Heroin,1,0.19
2022,JUN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,3.0
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,2,884.96
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Fentanyl,1,125.69
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Marijuana,1,2.21
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Methamphetamine,1,4175.17
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,350.53
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Cocaine,1,0.67
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Marijuana,4,50.0
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Methamphetamine,5,44.66
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,20,280.49
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,4,1.45
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,16,113.24
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,2,0.54
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,4997.83
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,9,11091.35
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,4,8235.9
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,0.13
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,2,0.25
2022,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,2.2
2022,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,2,0.46
2022,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,11,84.36
2022,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,2,5.01
2022,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,10,36.99
2022,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,2,0.04
2022,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,3,0.28
2022,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,2,25.01
2022,MAR,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Fentanyl,3,0.01
2022,MAR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,2,9.41
2022,MAR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,2,8.82
2022,MAR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Heroin,1,13.1
2022,MAR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Marijuana,1,0.86
2022,MAR,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,3,3005.78
2022,MAR,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,5,48.63
2022,MAR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,1,0.53
2022,MAR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,3,31.85
2022,MAR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Cocaine,1,73.83
2022,MAR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,2,0.54
2022,MAR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,2,0.06
2022,MAR,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,9,16920.79
2022,MAR,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Marijuana,1,2189.34
2022,MAR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,2,0.3299999999999999
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,2,603.23
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,3,0.13
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Heroin,2,0.05
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Marijuana,2,0.09
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Marijuana,2,116.25
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Methamphetamine,1,0.19
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,4,0.63
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,4.41
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Heroin,2,4.42
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,3,1.14
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,8,2.34
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,2,37.470000000000006
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,3,4237.25
2022,MAY,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,2,1648.36
2022,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,1,5.0
2022,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,2,0.35
2022,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,1,0.01
2022,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,1,48.5
2022,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,5,0.52
2022,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,2,5.73
2022,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,1,0.66
2022,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,0.5
2022,MAY,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,1,14.33
2022,MAY,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Methamphetamine,1,1.5
2022,MAY,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,0.9
2022,MAY,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,0.0
2022,MAY,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,2,26.57
2022,MAY,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,39.9
2022,MAY,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,1,0.75
2022,MAY,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,2,576.72
2022,MAY,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Heroin,1,0.11
2022,MAY,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marijuana,2,1166.6799999999998
2022,MAY,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,1,1.03
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,3,383.08
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Marijuana,1,247.71
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,2,813.04
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Marijuana,1,27.12
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Methamphetamine,3,1.53
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,1,0.0
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.0
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Heroin,1,0.0
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Cocaine,1,382.57
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Fentanyl,1,89.3
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,1,639.45
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,3,2425.51
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,1,35.28
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,8,18793.24
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,2,6519.1
2022,NOV,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,2,9.92
2022,NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,2,5.79
2022,NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,7,11.57
2022,NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,2.33
2022,NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,2,6.7
2022,NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,0.07
